dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.05,D-HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP,15,0.95,0.983,0.1293357171384909,0.004087909000944127,1000.0,8.18038178979428,1.1131812922431121,0.035201883321777615,8.039179455797703,7.382224179831422,8.89492675822494,5.377269590571206,13.0678097428543,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP,20,0.95,0.952,0.21387319079712103,0.006759881655768837,1000.0,6.037574990576802,0.7004069928079426,0.022148813863822718,5.9891751691059625,5.54418807389079,6.476302484655349,4.073522065309665,9.32928490266942,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP,25,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP,30,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP no within,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP no within,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP no within,10,0.95,0.995,0.07056897321046965,0.002230470802319547,1000.0,13.6734188611848,3.0681448574720167,0.09702325940944255,13.087422949749154,11.525572185028317,15.317327942874314,8.08485842320227,33.21551456717963,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,15,0.95,0.975,0.15620307103062792,0.004937104414532877,1000.0,10.79998371559955,2.6422324985427634,0.08355472803112661,10.174704774787026,9.043070189129313,11.985648485517807,6.324905847951827,28.33799078195326,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,20,0.95,0.959,0.19838941090279585,0.006270486424512857,1000.0,9.750887750801116,2.5127638202082827,0.07946056893924007,9.14503109510839,8.089096572349737,10.754280776899568,5.099707703443275,26.586425606032677,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,25,0.95,0.962,0.19129190414806527,0.006046155803483734,1000.0,7.6655120811408235,2.376317161392641,0.07514574672946685,7.317183940020462,5.944926150947116,9.07345110356679,3.1472122403615863,19.00446308774773,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,30,0.95,0.967,0.17872588772459053,0.005648982209212561,1000.0,7.841069819575417,2.3721674676625697,0.0750145218916754,7.483816555367484,6.1587582745289255,9.23736656645173,3.1472122403615863,19.321176587080572,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,15,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,20,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,25,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,30,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,Std-CP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,Std-CP,5,0.95,0.742,0.43775292989039793,0.013836039895866157,1000.0,6.034124790745442,4.54746818151029,0.14380357040716515,4.902930869220059,3.2462428274559834,7.382862742887683,0.3538496551571271,43.91549944747069,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,10,0.95,0.835,0.3713662786426804,0.011737759581794136,1000.0,137.04013172336374,1752.9065521989633,55.431772303815585,11.806570962366255,7.016107984770541,26.1625640061621,0.8117672417069435,43402.414195513615,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,15,0.95,0.885,0.31918157352340515,0.010088359628799917,1000.0,8.840995647566876,5.749274451409878,0.1818080215987027,7.196763526391392,5.343313281589621,10.534834574027638,1.8550163325089013,52.74785830436193,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,20,0.95,0.903,0.296105857217784,0.009359006357514668,1000.0,6.888422602296429,2.8480163062391664,0.09006218341015382,6.415706931852802,4.864481873626027,8.167949937730022,1.5224146158902825,23.544391596449632,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,25,0.95,0.928,0.2586172517116421,0.00817410545564467,1000.0,6.649066485469926,2.394866471961052,0.07573232743368698,6.335203630809428,4.868852267081452,8.007193372282972,1.7561574436491978,17.3323114140137,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,30,0.95,0.938,0.24127621974453717,0.00762600813007697,1000.0,6.378533212730709,2.208472569349519,0.06983803469148646,5.999773989661955,4.784700165262454,7.688805396967273,1.9076629461032315,16.564436564747627,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,D-HCP,5,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,D-HCP,10,0.925,0.978,0.14675672910479282,0.004638534251247911,1000.0,8.038366182194025,1.1087202066043291,0.0350608114072214,7.880291334728398,7.265574030464106,8.651727667162914,5.294820887890623,13.848968269538592,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP,15,0.925,0.958,0.20068950215762726,0.006343185319695463,1000.0,6.562921750666599,0.7877347926089483,0.024910361368046488,6.502312448004069,5.998216879688855,7.011601339536131,4.623087729672628,9.636586013345196,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP,20,0.925,0.926,0.2619018758859749,0.008277922444671728,1000.0,5.432889330951026,0.5898971306625018,0.01865418518091457,5.403057677710002,5.045773607799314,5.779997438350824,3.729660019737647,7.475377794385615,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP,25,0.925,0.925,0.26352313834736496,0.00832916562447884,1000.0,5.673477151544219,1.7240702305257976,0.05451988774553078,5.410469954437762,4.482911717167316,6.611757386928902,1.8762993856728445,14.310482894105071,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP,30,0.925,0.935,0.2466492161670818,0.0077958322198467015,1000.0,5.7744715978674375,1.71994739161011,0.05438951213153526,5.4903767216895965,4.570769437379184,6.803477268411825,2.1272904368150547,13.932775565488155,1000.0,1000.0,0.0,1.0,0.0
