tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
5.0,0.05,25,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Std-CP,0.9206,0.2703890938118817,6.746017043409449,6.3474675202111035,2.432442276206215,0.0,0,12345
5.0,0.05,25,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Donor-HCP-no-within,0.9672,0.1781305872140438,16.59283057936017,15.146523024137615,7.845411466136241,0.0,0,12345
5.0,0.05,30,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Pooling,0.9072,0.2901809797354058,31.606752203247215,28.426192495762606,12.785204364691669,0.0,0,12345
5.0,0.05,30,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Std-CP,0.9424,0.23300879515529876,6.467217860833661,6.213835513222409,2.104996436456165,0.0,0,12345
5.0,0.05,30,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Donor-HCP-no-within,0.9704,0.16949804104231841,16.791462221628976,15.350701665857851,7.835992994000921,0.0,0,12345
5.0,0.05,35,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Pooling,0.9072,0.2901809797354058,31.606752203247215,28.426192495762606,12.785204364691669,0.0,0,12345
5.0,0.05,35,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Std-CP,0.9472,0.2236563534373358,6.546445016556243,6.290268401076537,2.0652117606220126,0.0,0,12345
5.0,0.05,35,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.1,0,Donor-HCP-no-within,0.9428,0.2322476001804067,33.915909916646115,32.808453429804445,10.081519647319796,0.0,0,12345
5.0,0.1,0,Donor-HCP-within,0.9428,0.2322476001804067,33.915909916646115,32.808453429804445,10.081519647319796,0.0,0,12345
5.0,0.1,0,HCP,0.9428,0.2322476001804067,33.915909916646115,32.808453429804445,10.081519647319796,0.0,0,12345
5.0,0.1,0,Pooling,0.8672,0.3393923944926985,27.161634981394872,25.32981656189728,9.24195038957344,0.0,0,12345
5.0,0.1,0,Repeated,0.9084,0.2884893156029239,30.252456659882206,28.06387325917367,10.001846769441723,0.0,0,12345
5.0,0.1,0,S-HCP-within,0.9206,0.2703890938118816,32.00953544118868,30.225635513015426,12.12067081651466,0.0,0,12345
5.0,0.1,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
5.0,0.1,0,Subsampling,0.8952,0.306326177701856,30.491446262131348,29.56576510600616,10.807181607678876,0.0,0,12345
5.0,0.1,5,Donor-HCP-no-within,0.9378,0.24154260196849986,33.4263466051119,31.93562445504267,10.85084830320761,0.0,0,12345
5.0,0.1,5,Donor-HCP-within,0.9494,0.2192013910767219,29.39127554583327,28.105480547047407,9.142162453700683,0.0,0,12345
5.0,0.1,5,HCP,0.9428,0.2322476001804067,33.915909916646115,32.808453429804445,10.081519647319796,0.0,0,12345
5.0,0.1,5,Pooling,0.8672,0.3393923944926985,27.161634981394872,25.32981656189728,9.24195038957344,0.0,0,12345
5.0,0.1,5,Repeated,0.9084,0.2884893156029239,30.252456659882206,28.06387325917367,10.001846769441723,0.0,0,12345
5.0,0.1,5,S-HCP-within,0.9184,0.27378172197255474,30.01956895902285,27.93776099367357,10.771261026352146,0.0,0,12345
5.0,0.1,5,Std-CP,0.7564,0.42929698249560927,6.283467888188258,5.190670657329029,4.683927106202043,0.0,0,12345
5.0,0.1,5,Subsampling,0.8952,0.306326177701856,30.491446262131348,29.56576510600616,10.807181607678876,0.0,0,12345
5.0,0.1,10,Donor-HCP-no-within,0.932,0.251771082008135,31.811832636509916,29.9532533003134,10.650536266072898,0.0,0,12345
5.0,0.1,10,Donor-HCP-within,0.9422,0.23338820452371262,23.119530174888183,22.073944933661267,7.274504716055198,0.0,0,12345
5.0,0.1,10,HCP,0.9428,0.2322476001804067,33.915909916646115,32.808453429804445,10.081519647319796,0.0,0,12345
5.0,0.1,10,Pooling,0.8672,0.3393923944926985,27.161634981394872,25.32981656189728,9.24195038957344,0.0,0,12345
5.0,0.1,10,Repeated,0.9084,0.2884893156029239,30.252456659882206,28.06387325917367,10.001846769441723,0.0,0,12345
5.0,0.1,10,S-HCP-within,0.92,0.2713203327150192,29.647209625955554,27.677752881577263,10.517289513451189,0.0,0,12345
5.0,0.1,10,Std-CP,0.8164,0.38719636388380596,57.075515926511855,12.39876496143148,621.447606674109,0.0,0,12345
5.0,0.1,10,Subsampling,0.8952,0.306326177701856,30.491446262131348,29.56576510600616,10.807181607678876,0.0,0,12345
5.0,0.1,15,Donor-HCP-no-within,0.9186,0.2734757718693925,30.32854858084906,28.654805971638574,10.435012128897519,0.0,0,12345
5.0,0.1,15,Donor-HCP-within,0.9224,0.26756785777014114,19.35659294105035,18.46675550028397,6.266006026591317,0.0,0,12345
5.0,0.1,15,HCP,0.9428,0.2322476001804067,33.915909916646115,32.808453429804445,10.081519647319796,0.0,0,12345
5.0,0.1,15,Pooling,0.8672,0.3393923944926985,27.161634981394872,25.32981656189728,9.24195038957344,0.0,0,12345
5.0,0.1,15,Repeated,0.9084,0.2884893156029239,30.252456659882206,28.06387325917367,10.001846769441723,0.0,0,12345
5.0,0.1,15,S-HCP-within,0.9182,0.27408718459087295,29.37567053040765,27.456220639480264,10.202604727063513,0.0,0,12345
5.0,0.1,15,Std-CP,0.8836,0.3207360508624884,9.296530090284913,7.622264098959855,7.012750118128743,0.0,0,12345
5.0,0.1,15,Subsampling,0.8952,0.306326177701856,30.491446262131348,29.56576510600616,10.807181607678876,0.0,0,12345
5.0,0.1,20,Donor-HCP-no-within,0.9068,0.2907415796428627,27.240945352420198,26.246313541937454,8.144998788803505,0.0,0,12345
5.0,0.1,20,Donor-HCP-within,0.9058,0.2921359763632974,15.086360708616098,14.6460617216539,4.208475910543464,0.0,0,12345
5.0,0.1,20,HCP,0.9428,0.2322476001804067,33.915909916646115,32.808453429804445,10.081519647319796,0.0,0,12345
5.0,0.1,20,Pooling,0.8672,0.3393923944926985,27.161634981394872,25.32981656189728,9.24195038957344,0.0,0,12345
5.0,0.1,20,Repeated,0.9084,0.2884893156029239,30.252456659882206,28.06387325917367,10.001846769441723,0.0,0,12345
5.0,0.1,20,S-HCP-within,0.911,0.28477222309033057,28.093870015012566,26.527535601677883,9.457300292136898,0.0,0,12345
5.0,0.1,20,Std-CP,0.9086,0.28820592035991605,6.960195716235156,6.38709020619181,2.9697372237643513,0.0,0,12345
5.0,0.1,20,Subsampling,0.8952,0.306326177701856,30.491446262131348,29.56576510600616,10.807181607678876,0.0,0,12345
5.0,0.1,25,Donor-HCP-no-within,0.9234,0.2659823101596492,15.157596997814474,13.747817276915052,7.563491397936429,0.0,0,12345
5.0,0.1,25,Donor-HCP-within,0.9356,0.24548868189508782,6.022473797704823,5.801159507811839,1.7986762210889862,0.0,0,12345
5.0,0.1,25,HCP,0.9428,0.2322476001804067,33.915909916646115,32.808453429804445,10.081519647319796,0.0,0,12345
5.0,0.1,25,Pooling,0.8672,0.3393923944926985,27.161634981394872,25.32981656189728,9.24195038957344,0.0,0,12345
5.0,0.1,25,Repeated,0.9084,0.2884893156029239,30.252456659882206,28.06387325917367,10.001846769441723,0.0,0,12345
5.0,0.1,25,S-HCP-within,0.9318,0.2521140065416021,15.702452396142148,14.46139771164939,7.734889957332519,0.0,0,12345
5.0,0.1,25,Std-CP,0.9322,0.25142753063384304,6.779082187423937,6.36182961120824,2.494944081476019,0.0,0,12345
5.0,0.1,25,Subsampling,0.8952,0.306326177701856,30.491446262131348,29.56576510600616,10.807181607678876,0.0,0,12345
5.0,0.1,30,Donor-HCP-no-within,0.9046,0.29379602315321496,14.619424811886967,13.250092985082139,7.496477509895006,0.0,0,12345
5.0,0.1,30,Donor-HCP-within,0.9418,0.23414466627482414,6.0551935663777146,5.845338252131706,1.738734924912781,0.0,0,12345
5.0,0.1,30,HCP,0.9428,0.2322476001804067,33.915909916646115,32.808453429804445,10.081519647319796,0.0,0,12345
5.0,0.1,30,Pooling,0.8672,0.3393923944926985,27.161634981394872,25.32981656189728,9.24195038957344,0.0,0,12345
5.0,0.1,30,Repeated,0.9084,0.2884893156029239,30.252456659882206,28.06387325917367,10.001846769441723,0.0,0,12345
