tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std
5.0,0.1,0,Donor-HCP-no-within,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,0,Donor-HCP-within,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,0,HCP,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,0,Pooling,0.8672,0.3393923944926988,27.161634981394872,25.32981656189728,9.241950389573443
5.0,0.1,0,Repeated,0.9076,0.28961874214760425,30.26494329061254,28.281118111140287,10.014753892404864
5.0,0.1,0,S-HCP-within,0.9208,0.2700776710312755,32.015021096416376,30.228887203732196,12.005811488907188
5.0,0.1,0,Std-CP,1.0,0.0,,,
5.0,0.1,0,Subsampling,0.8968,0.3042503470083984,30.26464546934151,29.384795735978294,10.9067458187941
5.0,0.1,5,Donor-HCP-no-within,0.9378,0.24154260196849994,33.4263466051119,31.93562445504267,10.850848303207613
5.0,0.1,5,Donor-HCP-within,0.9488,0.22042748842993956,29.447944729043623,28.191797986837393,9.073662292151543
5.0,0.1,5,HCP,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,5,Pooling,0.8672,0.3393923944926988,27.161634981394872,25.32981656189728,9.241950389573443
5.0,0.1,5,Repeated,0.9076,0.28961874214760425,30.26494329061254,28.281118111140287,10.014753892404864
5.0,0.1,5,S-HCP-within,0.9188,0.27316933264343435,30.01000279051701,27.93776099367357,10.841468737166606
5.0,0.1,5,Std-CP,0.75,0.4330560096586821,6.316624918541044,5.2502621365780175,4.722589226802479
5.0,0.1,5,Subsampling,0.8968,0.3042503470083984,30.26464546934151,29.384795735978294,10.9067458187941
5.0,0.1,10,Donor-HCP-no-within,0.932,0.2517710820081351,31.811832636509916,29.9532533003134,10.650536266072901
5.0,0.1,10,Donor-HCP-within,0.942,0.2337668269577129,68.22376326964171,30.939238144182987,107.66141333171899
5.0,0.1,10,HCP,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,10,Pooling,0.8672,0.3393923944926988,27.161634981394872,25.32981656189728,9.241950389573443
5.0,0.1,10,Repeated,0.9076,0.28961874214760425,30.26494329061254,28.281118111140287,10.014753892404864
5.0,0.1,10,S-HCP-within,0.916,0.2774155581044,29.628872445688884,27.60622387388552,10.505039369516224
5.0,0.1,10,Std-CP,0.8276,0.37776551107303485,51.80423957243809,12.140983217963509,873.3941795149206
5.0,0.1,10,Subsampling,0.8968,0.3042503470083984,30.26464546934151,29.384795735978294,10.9067458187941
5.0,0.1,15,Donor-HCP-no-within,0.9186,0.2734757718693928,30.32854858084906,28.654805971638574,10.435012128897498
5.0,0.1,15,Donor-HCP-within,0.9218,0.26851290441237086,19.58305109598639,18.64208295723309,6.158167193394379
5.0,0.1,15,HCP,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,15,Pooling,0.8672,0.3393923944926988,27.161634981394872,25.32981656189728,9.241950389573443
5.0,0.1,15,Repeated,0.9076,0.28961874214760425,30.26494329061254,28.281118111140287,10.014753892404864
5.0,0.1,15,S-HCP-within,0.9192,0.272554980221328,29.384396431633782,27.356267940309813,10.249760534905157
5.0,0.1,15,Std-CP,0.8886,0.31465829397680534,9.079985527015397,7.500425372217439,6.094341443400223
5.0,0.1,15,Subsampling,0.8968,0.3042503470083984,30.26464546934151,29.384795735978294,10.9067458187941
5.0,0.1,20,Donor-HCP-no-within,0.9068,0.2907415796428626,27.240945352420198,26.246313541937454,8.144998788803512
5.0,0.1,20,Donor-HCP-within,0.9094,0.2870681480490738,15.217279383658644,14.793567703237684,4.2632692897872
5.0,0.1,20,HCP,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,20,Pooling,0.8672,0.3393923944926988,27.161634981394872,25.32981656189728,9.241950389573443
5.0,0.1,20,Repeated,0.9076,0.28961874214760425,30.26494329061254,28.281118111140287,10.014753892404864
5.0,0.1,20,S-HCP-within,0.911,0.2847722230903302,28.105570499033607,26.694777193405553,9.441405647799817
5.0,0.1,20,Std-CP,0.9076,0.28961874214760475,6.929745909421155,6.396472568185585,2.9192215868708242
5.0,0.1,20,Subsampling,0.8968,0.3042503470083984,30.26464546934151,29.384795735978294,10.9067458187941
5.0,0.1,25,Donor-HCP-no-within,0.9234,0.2659823101596489,15.157596997814474,13.747817276915052,7.563491397936431
5.0,0.1,25,Donor-HCP-within,0.9256,0.26244697689845237,6.792419958035479,6.43032412514696,2.3917102330837867
5.0,0.1,25,HCP,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,25,Pooling,0.8672,0.3393923944926988,27.161634981394872,25.32981656189728,9.241950389573443
5.0,0.1,25,Repeated,0.9076,0.28961874214760425,30.26494329061254,28.281118111140287,10.014753892404864
5.0,0.1,25,S-HCP-within,0.9318,0.2521140065416021,15.702452396142148,14.46139771164939,7.7348899573325225
5.0,0.1,25,Std-CP,0.9296,0.25584552250582265,6.764688578293661,6.360159129941685,2.4495723956802093
5.0,0.1,25,Subsampling,0.8968,0.3042503470083984,30.26464546934151,29.384795735978294,10.9067458187941
5.0,0.1,30,Donor-HCP-no-within,0.9046,0.29379602315321485,14.619424811886967,13.250092985082139,7.496477509895007
5.0,0.1,30,Donor-HCP-within,0.936,0.2447774156180256,6.501108744257307,6.196413197690644,2.117208237518682
5.0,0.1,30,HCP,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,30,Pooling,0.8672,0.3393923944926988,27.161634981394872,25.32981656189728,9.241950389573443
5.0,0.1,30,Repeated,0.9076,0.28961874214760425,30.26494329061254,28.281118111140287,10.014753892404864
5.0,0.1,30,S-HCP-within,0.94,0.23751059398782892,15.9007192395436,14.645114679370653,7.6948799818872295
5.0,0.1,30,Std-CP,0.9358,0.2451333883329953,6.479038139922111,6.161475360396249,2.1826632937493846
5.0,0.1,30,Subsampling,0.8968,0.3042503470083984,30.26464546934151,29.384795735978294,10.9067458187941
5.0,0.1,35,Donor-HCP-no-within,0.9184,0.27378172197255496,14.912922389987855,13.489676377002823,7.510518010702689
5.0,0.1,35,Donor-HCP-within,0.9446,0.22878222890262348,6.548866278343777,6.288698865572484,1.998293156352391
5.0,0.1,35,HCP,0.9428,0.2322476001804065,33.915909916646115,32.808453429804445,10.081519647319803
5.0,0.1,35,Pooling,0.8672,0.3393923944926988,27.161634981394872,25.32981656189728,9.241950389573443
5.0,0.1,35,Repeated,0.9076,0.28961874214760425,30.26494329061254,28.281118111140287,10.014753892404864
5.0,0.1,35,S-HCP-within,0.947,0.22405588634990517,16.16755097852429,14.832577360928058,7.70858676114074
5.0,0.1,35,Std-CP,0.9488,0.22042748842993928,6.524175975088874,6.266045387063854,2.028494564733495
5.0,0.1,35,Subsampling,0.8968,0.3042503470083984,30.26464546934151,29.384795735978294,10.9067458187941
